Full Name,F0 norm,V0,Pmax norm,DRF,RFMax
Carlin Isles,14.92,11.5,42.9,-8.41,71.7
Nick Dunn,14.12,10.02,35.38,-9.12,55.27
JaJuan Thomas,14.19,9.78,34.68,-9.42,54.56
River Cracraft,12.8,10.01,32.04,-8.7,54.26
Carson Stroman,14.44,9.32,33.66,-10.03,53.18
Kyle Sweet,12.5,9.58,29.92,-9.03,52.79
Drew Young,12.28,9.55,29.31,-8.98,52.51
Zach Wade,11.88,9.5,28.2,-8.87,51.99
Jamil Robinson,12.17,9.42,28.65,-9.07,52.04
JOEY Merrit,10.89,9.66,26.31,-8.27,51.28
L J,10.76,9.62,25.86,-8.25,50.99
Abe Shklar,11.31,9.3,26.29,-8.82,50.85
Justin Roehl,11.3,9.32,26.32,-8.81,50.88
Miles McCormick,11.86,9.01,26.72,-9.42,50.58
Hunter Province,11.88,8.96,26.63,-9.49,50.44
Hunter Province,11.88,8.96,26.63,-9.49,50.44
Jake Davila,12.2,8.87,27.05,-9.74,50.4
